Source,Cregion,compound_values,independent_values,n_Comp,n_Indep,NOC,med_Comp,med_Indep,med_diff,ks_p,wilcox_p,cliff_d,stat_label,max_val,Dynamic_Variable
SOVI,MDA,,,3,1,4,1.005411449,0.170090402,0.835321047,0.5,0.5,1,ΔMed = 0.84 | Cliff's d = 1 | KS p = 0.50 | NOC = 4,3.46223806,Housing burden (percent) (percentile)
SOVI,GLF,,,28,4,32,0.370416264,0.287262133,0.083154131,0.674638487,0.669094321,0.142857143,ΔMed = 0.08 | Cliff's d = 0.14 | KS p = 0.67 | NOC = 32,3.231674332,Proximity to NPL (Superfund) sites (percentile)
SOVI,SW,,,1,0,1,0.631217858,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,0.631217858,Proximity to NPL (Superfund) sites (percentile)
SOVI,NW,,,3,0,3,0.767288255,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,0.99407225,Proximity to NPL (Superfund) sites (percentile)
SVI,MDA,,,3,1,4,0.626624242,0.683937799,-0.057313557,1,1,-0.333333333,ΔMed = -0.06 | Cliff's d = -0.33 | KS p = 1.00 | NOC = 4,0.891236919,Proximity to NPL (Superfund) sites (percentile)
SVI,SE,,,12,1,13,0.740580303,0.675535294,0.065045009,0.615384615,0.615384615,0.5,ΔMed = 0.07 | Cliff's d = 0.5 | KS p = 0.62 | NOC = 13,0.8547,Proximity to NPL (Superfund) sites (percentile)
SVI,GLF,,,28,4,32,0.640277273,0.652305714,-0.012028442,0.992880979,0.978031146,0.017857143,ΔMed = -0.01 | Cliff's d = 0.02 | KS p = 0.99 | NOC = 32,0.9278,Proximity to NPL (Superfund) sites (percentile)
SVI,SW,,,1,0,1,0.6807,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,0.6807,Proximity to NPL (Superfund) sites (percentile)
SVI,NW,,,3,0,3,0.610542857,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,0.631672222,Proximity to NPL (Superfund) sites (percentile)
Proximity to NPL (Superfund) sites (percentile),MDA,,,3,1,4,64.90855457,93.12380952,-28.21525495,0.5,0.5,-1,ΔMed = -28.22 | Cliff's d = -1 | KS p = 0.50 | NOC = 4,93.12380952,Proximity to NPL (Superfund) sites (percentile)
Proximity to NPL (Superfund) sites (percentile),SE,,,12,1,13,18.95833333,11.4,7.558333333,0.615384615,0.615384615,0.5,ΔMed = 7.56 | Cliff's d = 0.5 | KS p = 0.62 | NOC = 13,61.18181818,Proximity to NPL (Superfund) sites (percentile)
Proximity to NPL (Superfund) sites (percentile),GLF,,,28,4,32,23.57142857,16.23636364,7.335064935,0.578754171,0.408639658,0.267857143,ΔMed = 7.34 | Cliff's d = 0.27 | KS p = 0.58 | NOC = 32,78.48022599,Proximity to NPL (Superfund) sites (percentile)
Proximity to NPL (Superfund) sites (percentile),SW,,,1,0,1,7.5,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,7.5,Proximity to NPL (Superfund) sites (percentile)
Proximity to NPL (Superfund) sites (percentile),NW,,,3,0,3,15.05555556,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,16.22222222,Proximity to NPL (Superfund) sites (percentile)
SOVI,MDA,,,3,1,4,1.005411449,0.170090402,0.835321047,0.5,0.5,1,ΔMed = 0.84 | Cliff's d = 1 | KS p = 0.500 | NOC = 4,3.46223806,Proximity to Risk Management Plan (RMP) facilities (percentile)
SOVI,SE,,,12,1,13,0.498927194,0.173870135,0.325057059,0.615384615,0.615384615,0.5,ΔMed = 0.33 | Cliff's d = 0.5 | KS p = 0.615 | NOC = 13,1.799155431,Proximity to Risk Management Plan (RMP) facilities (percentile)
SOVI,GLF,,,28,4,32,0.370416264,0.287262133,0.083154131,0.674638487,0.669094321,0.142857143,ΔMed = 0.08 | Cliff's d = 0.14 | KS p = 0.675 | NOC = 32,3.231674332,Proximity to Risk Management Plan (RMP) facilities (percentile)
SOVI,SW,,,1,0,1,0.631217858,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,0.631217858,Proximity to Risk Management Plan (RMP) facilities (percentile)
SOVI,NW,,,3,0,3,0.767288255,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,0.99407225,Proximity to Risk Management Plan (RMP) facilities (percentile)
SVI,MDA,,,3,1,4,0.626624242,0.683937799,-0.057313557,1,1,-0.333333333,ΔMed = -0.06 | Cliff's d = -0.33 | KS p = 1.000 | NOC = 4,0.891236919,Proximity to Risk Management Plan (RMP) facilities (percentile)
SVI,SE,,,12,1,13,0.740580303,0.675535294,0.065045009,0.615384615,0.615384615,0.5,ΔMed = 0.07 | Cliff's d = 0.5 | KS p = 0.615 | NOC = 13,0.8547,Proximity to Risk Management Plan (RMP) facilities (percentile)
SVI,GLF,,,28,4,32,0.640277273,0.652305714,-0.012028442,0.992880979,0.978031146,0.017857143,ΔMed = -0.01 | Cliff's d = 0.02 | KS p = 0.993 | NOC = 32,0.9278,Proximity to Risk Management Plan (RMP) facilities (percentile)
SVI,SW,,,1,0,1,0.6807,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,0.6807,Proximity to Risk Management Plan (RMP) facilities (percentile)
SVI,NW,,,3,0,3,0.610542857,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,0.631672222,Proximity to Risk Management Plan (RMP) facilities (percentile)
Proximity to Risk Management Plan (RMP) facilities (percentile),MDA,,,3,1,4,55.2979351,47.41428571,7.883649389,1,1,0.333333333,ΔMed = 7.88 | Cliff's d = 0.33 | KS p = 1.000 | NOC = 4,88.565,Proximity to Risk Management Plan (RMP) facilities (percentile)
Proximity to Risk Management Plan (RMP) facilities (percentile),SE,,,12,1,13,40.9875,9.8,31.1875,0.307692308,0.307692308,0.833333333,ΔMed = 31.19 | Cliff's d = 0.83 | KS p = 0.308 | NOC = 13,68.72727273,Proximity to Risk Management Plan (RMP) facilities (percentile)
Proximity to Risk Management Plan (RMP) facilities (percentile),GLF,,,28,4,32,52.41136364,23.45714286,28.95422078,0.011679644,0.013403782,0.75,ΔMed = 28.95 | Cliff's d = 0.75 | KS p = 0.012 | NOC = 32,83.54545455,Proximity to Risk Management Plan (RMP) facilities (percentile)
Proximity to Risk Management Plan (RMP) facilities (percentile),SW,,,1,0,1,0.125,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,0.125,Proximity to Risk Management Plan (RMP) facilities (percentile)
Proximity to Risk Management Plan (RMP) facilities (percentile),NW,,,3,0,3,18.44444444,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,19.94444444,Proximity to Risk Management Plan (RMP) facilities (percentile)
SOVI,MDA,,,3,1,4,1.005411449,0.170090402,0.835321047,0.5,0.5,1,ΔMed = 0.84 | Cliff's d = 1 | KS p = 0.50 | NOC = 4,3.46223806,Wastewater discharge (percentile)
SOVI,SE,,,12,1,13,0.498927194,0.173870135,0.325057059,0.615384615,0.615384615,0.5,ΔMed = 0.33 | Cliff's d = 0.5 | KS p = 0.62 | NOC = 13,1.799155431,Wastewater discharge (percentile)
SOVI,GLF,,,28,4,32,0.370416264,0.287262133,0.083154131,0.674638487,0.669094321,0.142857143,ΔMed = 0.08 | Cliff's d = 0.14 | KS p = 0.67 | NOC = 32,3.231674332,Wastewater discharge (percentile)
SOVI,SW,,,1,0,1,0.631217858,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,0.631217858,Wastewater discharge (percentile)
SOVI,NW,,,3,0,3,0.767288255,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,0.99407225,Wastewater discharge (percentile)
SVI,MDA,,,3,1,4,0.626624242,0.683937799,-0.057313557,1,1,-0.333333333,ΔMed = -0.06 | Cliff's d = -0.33 | KS p = 1.00 | NOC = 4,0.891236919,Wastewater discharge (percentile)
SVI,SE,,,12,1,13,0.740580303,0.675535294,0.065045009,0.615384615,0.615384615,0.5,ΔMed = 0.07 | Cliff's d = 0.5 | KS p = 0.62 | NOC = 13,0.8547,Wastewater discharge (percentile)
SVI,GLF,,,28,4,32,0.640277273,0.652305714,-0.012028442,0.992880979,0.978031146,0.017857143,ΔMed = -0.01 | Cliff's d = 0.02 | KS p = 0.99 | NOC = 32,0.9278,Wastewater discharge (percentile)
SVI,SW,,,1,0,1,0.6807,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,0.6807,Wastewater discharge (percentile)
SVI,NW,,,3,0,3,0.610542857,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,0.631672222,Wastewater discharge (percentile)
Wastewater discharge (percentile),MDA,,,3,1,4,39.1420765,65.11363636,-25.97155986,0.5,0.5,-1,ΔMed = -25.97 | Cliff's d = -1 | KS p = 0.50 | NOC = 4,65.11363636,Wastewater discharge (percentile)
Wastewater discharge (percentile),SE,,,12,1,13,31.9375,35.38461538,-3.447115385,0.769230769,0.769230769,-0.333333333,ΔMed = -3.45 | Cliff's d = -0.33 | KS p = 0.77 | NOC = 13,59.90909091,Wastewater discharge (percentile)
Wastewater discharge (percentile),GLF,,,28,4,32,46.55,41.25,5.3,0.578754171,0.408639658,0.267857143,ΔMed = 5.3 | Cliff's d = 0.27 | KS p = 0.58 | NOC = 32,63.71428571,Wastewater discharge (percentile)
Wastewater discharge (percentile),NW,,,3,0,3,28.5,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,80.5,Wastewater discharge (percentile)
SOVI,MDA,,,3,1,4,1.005411449,0.170090402,0.835321047,0.5,0.5,1,ΔMed = 0.84 | Cliff's d = 1 | KS p = 0.50 | NOC = 4,3.46223806,Leaky underground storage tanks (percentile)
SOVI,SE,,,12,1,13,0.498927194,0.173870135,0.325057059,0.615384615,0.615384615,0.5,ΔMed = 0.33 | Cliff's d = 0.5 | KS p = 0.62 | NOC = 13,1.799155431,Leaky underground storage tanks (percentile)
SOVI,GLF,,,28,4,32,0.370416264,0.287262133,0.083154131,0.674638487,0.669094321,0.142857143,ΔMed = 0.08 | Cliff's d = 0.14 | KS p = 0.67 | NOC = 32,3.231674332,Leaky underground storage tanks (percentile)
SOVI,SW,,,1,0,1,0.631217858,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,0.631217858,Leaky underground storage tanks (percentile)
SOVI,NW,,,3,0,3,0.767288255,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,0.99407225,Leaky underground storage tanks (percentile)
SVI,MDA,,,3,1,4,0.626624242,0.683937799,-0.057313557,1,1,-0.333333333,ΔMed = -0.06 | Cliff's d = -0.33 | KS p = 1.00 | NOC = 4,0.891236919,Leaky underground storage tanks (percentile)
SVI,SE,,,12,1,13,0.740580303,0.675535294,0.065045009,0.615384615,0.615384615,0.5,ΔMed = 0.07 | Cliff's d = 0.5 | KS p = 0.62 | NOC = 13,0.8547,Leaky underground storage tanks (percentile)
SVI,GLF,,,28,4,32,0.640277273,0.652305714,-0.012028442,0.992880979,0.978031146,0.017857143,ΔMed = -0.01 | Cliff's d = 0.02 | KS p = 0.99 | NOC = 32,0.9278,Leaky underground storage tanks (percentile)
SVI,SW,,,1,0,1,0.6807,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,0.6807,Leaky underground storage tanks (percentile)
SVI,NW,,,3,0,3,0.610542857,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,0.631672222,Leaky underground storage tanks (percentile)
Leaky underground storage tanks (percentile),MDA,,,3,1,4,54.33,93.3952381,-39.0652381,0.5,0.5,-1,ΔMed = -39.07 | Cliff's d = -1 | KS p = 0.50 | NOC = 4,93.3952381,Leaky underground storage tanks (percentile)
Leaky underground storage tanks (percentile),SE,,,12,1,13,40.6,33.66666667,6.933333333,0.923076923,0.923076923,0.166666667,ΔMed = 6.93 | Cliff's d = 0.17 | KS p = 0.92 | NOC = 13,59.46666667,Leaky underground storage tanks (percentile)
Leaky underground storage tanks (percentile),GLF,,,28,4,32,40.4,32.23214286,8.167857143,0.364571746,0.230478309,0.392857143,ΔMed = 8.17 | Cliff's d = 0.39 | KS p = 0.36 | NOC = 32,58.65217391,Leaky underground storage tanks (percentile)
Leaky underground storage tanks (percentile),SW,,,1,0,1,28.375,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,28.375,Leaky underground storage tanks (percentile)
Leaky underground storage tanks (percentile),NW,,,3,0,3,25,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,33.27777778,Leaky underground storage tanks (percentile)
SOVI,MDA,,,3,1,4,1.005411449,0.170090402,0.835321047,0.5,0.5,1,ΔMed = 0.84 | Cliff's d = 1 | KS p = 0.50 | NOC = 4,3.46223806,Low life expectancy (percentile)
SOVI,SE,,,12,1,13,0.498927194,0.173870135,0.325057059,0.615384615,0.615384615,0.5,ΔMed = 0.33 | Cliff's d = 0.5 | KS p = 0.62 | NOC = 13,1.799155431,Low life expectancy (percentile)
SOVI,GLF,,,28,4,32,0.370416264,0.287262133,0.083154131,0.674638487,0.669094321,0.142857143,ΔMed = 0.08 | Cliff's d = 0.14 | KS p = 0.67 | NOC = 32,3.231674332,Low life expectancy (percentile)
SOVI,SW,,,1,0,1,0.631217858,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,0.631217858,Low life expectancy (percentile)
SOVI,NW,,,3,0,3,0.767288255,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,0.99407225,Low life expectancy (percentile)
SVI,MDA,,,3,1,4,0.626624242,0.683937799,-0.057313557,1,1,-0.333333333,ΔMed = -0.06 | Cliff's d = -0.33 | KS p = 1.00 | NOC = 4,0.891236919,Low life expectancy (percentile)
SVI,SE,,,12,1,13,0.740580303,0.675535294,0.065045009,0.615384615,0.615384615,0.5,ΔMed = 0.07 | Cliff's d = 0.5 | KS p = 0.62 | NOC = 13,0.8547,Low life expectancy (percentile)
SVI,GLF,,,28,4,32,0.640277273,0.652305714,-0.012028442,0.992880979,0.978031146,0.017857143,ΔMed = -0.01 | Cliff's d = 0.02 | KS p = 0.99 | NOC = 32,0.9278,Low life expectancy (percentile)
SVI,SW,,,1,0,1,0.6807,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,0.6807,Low life expectancy (percentile)
SVI,NW,,,3,0,3,0.610542857,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,0.631672222,Low life expectancy (percentile)
Low life expectancy (percentile),MDA,,,3,1,4,80.08888889,51.035,29.05388889,0.5,0.5,1,ΔMed = 29.05 | Cliff's d = 1 | KS p = 0.50 | NOC = 4,80.66666667,Low life expectancy (percentile)
Low life expectancy (percentile),SE,,,12,1,13,67.92460317,72,-4.075396825,0.769230769,0.769230769,-0.333333333,ΔMed = -4.08 | Cliff's d = -0.33 | KS p = 0.77 | NOC = 13,89.90909091,Low life expectancy (percentile)
Low life expectancy (percentile),GLF,,,28,4,32,74.27747253,67.4,6.877472527,0.796273637,0.669094321,0.142857143,ΔMed = 6.88 | Cliff's d = 0.14 | KS p = 0.80 | NOC = 32,83.1,Low life expectancy (percentile)
Low life expectancy (percentile),SW,,,1,0,1,66.28571429,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,66.28571429,Low life expectancy (percentile)
Low life expectancy (percentile),NW,,,3,0,3,54.64705882,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,71.5,Low life expectancy (percentile)
SOVI,MDA,,,3,1,4,1.005411449,0.170090402,0.835321047,0.5,0.5,1,ΔMed = 0.84 | Cliff's d = 1 | KS p = 0.50 | NOC = 4,3.46223806,Linguistic isolation (percent) (percentile)
SOVI,SE,,,12,1,13,0.498927194,0.173870135,0.325057059,0.615384615,0.615384615,0.5,ΔMed = 0.33 | Cliff's d = 0.5 | KS p = 0.62 | NOC = 13,1.799155431,Linguistic isolation (percent) (percentile)
SOVI,GLF,,,28,4,32,0.370416264,0.287262133,0.083154131,0.674638487,0.669094321,0.142857143,ΔMed = 0.08 | Cliff's d = 0.14 | KS p = 0.67 | NOC = 32,3.231674332,Linguistic isolation (percent) (percentile)
SOVI,SW,,,1,0,1,0.631217858,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,0.631217858,Linguistic isolation (percent) (percentile)
SOVI,NW,,,3,0,3,0.767288255,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,0.99407225,Linguistic isolation (percent) (percentile)
SVI,MDA,,,3,1,4,0.626624242,0.683937799,-0.057313557,1,1,-0.333333333,ΔMed = -0.06 | Cliff's d = -0.33 | KS p = 1.00 | NOC = 4,0.891236919,Linguistic isolation (percent) (percentile)
SVI,SE,,,12,1,13,0.740580303,0.675535294,0.065045009,0.615384615,0.615384615,0.5,ΔMed = 0.07 | Cliff's d = 0.5 | KS p = 0.62 | NOC = 13,0.8547,Linguistic isolation (percent) (percentile)
SVI,GLF,,,28,4,32,0.640277273,0.652305714,-0.012028442,0.992880979,0.978031146,0.017857143,ΔMed = -0.01 | Cliff's d = 0.02 | KS p = 0.99 | NOC = 32,0.9278,Linguistic isolation (percent) (percentile)
SVI,SW,,,1,0,1,0.6807,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,0.6807,Linguistic isolation (percent) (percentile)
SVI,NW,,,3,0,3,0.610542857,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,0.631672222,Linguistic isolation (percent) (percentile)
Linguistic isolation (percent) (percentile),MDA,,,3,1,4,39.07070707,70.73076923,-31.66006216,1,1,-0.333333333,ΔMed = -31.66 | Cliff's d = -0.33 | KS p = 1.00 | NOC = 4,86.71987952,Linguistic isolation (percent) (percentile)
Linguistic isolation (percent) (percentile),SE,,,12,1,13,30.42857143,45.28571429,-14.85714286,0.461538462,0.461538462,-0.666666667,ΔMed = -14.86 | Cliff's d = -0.67 | KS p = 0.46 | NOC = 13,63.18181818,Linguistic isolation (percent) (percentile)
Linguistic isolation (percent) (percentile),GLF,,,28,4,32,39.75,40.31111111,-0.561111111,0.963959956,0.931881173,-0.035714286,ΔMed = -0.56 | Cliff's d = -0.04 | KS p = 0.96 | NOC = 32,93.42857143,Linguistic isolation (percent) (percentile)
Linguistic isolation (percent) (percentile),SW,,,1,0,1,38.57142857,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,38.57142857,Linguistic isolation (percent) (percentile)
Linguistic isolation (percent) (percentile),NW,,,3,0,3,31.47058824,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,35,Linguistic isolation (percent) (percentile)
SOVI,MDA,,,3,1,4,1.005411449,0.170090402,0.835321047,0.5,0.5,1,ΔMed = 0.84 | Cliff's d = 1 | KS p = 0.50 | NOC = 4,3.46223806,Unemployment (percent) (percentile)
SOVI,SE,,,12,1,13,0.498927194,0.173870135,0.325057059,0.615384615,0.615384615,0.5,ΔMed = 0.33 | Cliff's d = 0.5 | KS p = 0.62 | NOC = 13,1.799155431,Unemployment (percent) (percentile)
SOVI,GLF,,,28,4,32,0.370416264,0.287262133,0.083154131,0.674638487,0.669094321,0.142857143,ΔMed = 0.08 | Cliff's d = 0.14 | KS p = 0.67 | NOC = 32,3.231674332,Unemployment (percent) (percentile)
SOVI,SW,,,1,0,1,0.631217858,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,0.631217858,Unemployment (percent) (percentile)
SOVI,NW,,,3,0,3,0.767288255,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,0.99407225,Unemployment (percent) (percentile)
SVI,MDA,,,3,1,4,0.626624242,0.683937799,-0.057313557,1,1,-0.333333333,ΔMed = -0.06 | Cliff's d = -0.33 | KS p = 1.00 | NOC = 4,0.891236919,Unemployment (percent) (percentile)
SVI,SE,,,12,1,13,0.740580303,0.675535294,0.065045009,0.615384615,0.615384615,0.5,ΔMed = 0.07 | Cliff's d = 0.5 | KS p = 0.62 | NOC = 13,0.8547,Unemployment (percent) (percentile)
SVI,GLF,,,28,4,32,0.640277273,0.652305714,-0.012028442,0.992880979,0.978031146,0.017857143,ΔMed = -0.01 | Cliff's d = 0.02 | KS p = 0.99 | NOC = 32,0.9278,Unemployment (percent) (percentile)
SVI,SW,,,1,0,1,0.6807,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,0.6807,Unemployment (percent) (percentile)
SVI,NW,,,3,0,3,0.610542857,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,0.631672222,Unemployment (percent) (percentile)
Unemployment (percent) (percentile),MDA,,,3,1,4,65.48484848,66.23076923,-0.745920746,1,1,-0.333333333,ΔMed = -0.75 | Cliff's d = -0.33 | KS p = 1.00 | NOC = 4,75.61861862,Unemployment (percent) (percentile)
Unemployment (percent) (percentile),SE,,,12,1,13,64.77272727,77.5,-12.72727273,0.461538462,0.461538462,-0.666666667,ΔMed = -12.73 | Cliff's d = -0.67 | KS p = 0.46 | NOC = 13,87,Unemployment (percent) (percentile)
Unemployment (percent) (percentile),GLF,,,28,4,32,61.08333333,61.38148148,-0.298148148,0.963959956,0.847608454,0.071428571,ΔMed = -0.3 | Cliff's d = 0.07 | KS p = 0.96 | NOC = 32,89.8,Unemployment (percent) (percentile)
Unemployment (percent) (percentile),SW,,,1,0,1,71.14285714,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 1,71.14285714,Unemployment (percent) (percentile)
Unemployment (percent) (percentile),NW,,,3,0,3,58.05882353,NA,NA,NA,NA,NA,ΔMed = NA | Cliff's d = NA | KS p = NA | NOC = 3,75.2,Unemployment (percent) (percentile)
